Comunidad,Latitud,Longitud
Andalucía,37.3399964,-4.5811614
Aragón,41.3787291,-0.7639373
Asturias,43.3133868,-5.94192
Baleares,39.613432,2.8829184529439633
Canarias,28.2935785,-16.621447121144122
Cantabria,43.1595664,-4.0878382
Castilla y León,41.55005,-5.1387401
Castilla-La Mancha,39.4177902,-2.6232332
Cataluña,41.8523094,1.5745043
Ceuta,35.888361,-5.304138
Comunidad Valenciana,39.6819591,-0.7654406
Extremadura,39.1748426,-6.1529891
Galicia,42.61946,-7.863112
La Rioja,42.3285528,-2.4674917
Madrid,40.4167047,-3.7035825
Melilla,35.29291145,-2.950720236037561
Murcia,37.9923795,-1.1305431
Navarra,42.61254875,-1.830787673361753
Euskadi,42.9911816,-2.5543023
