Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Residencia del viajero;Periodo;Total
Total Nacional;;;Total ;2022;117.954.000
Total Nacional;;;Total ;2021;69.272.000
Total Nacional;;;Total ;2020;44.207.000
Total Nacional;;;Total ;2019;105.602.000
Total Nacional;;;Total ;2018;94.389.000
Total Nacional;;;Residentes en el Extranjero;2022;73.052.000
Total Nacional;;;Residentes en el Extranjero;2021;32.874.000
Total Nacional;;;Residentes en el Extranjero;2020;19.714.000
Total Nacional;;;Residentes en el Extranjero;2019;71.253.000
Total Nacional;;;Residentes en el Extranjero;2018;65.311.000
Total Nacional;;;Residentes en España;2022;44.902.000
Total Nacional;;;Residentes en España;2021;36.399.000
Total Nacional;;;Residentes en España;2020;24.493.000
Total Nacional;;;Residentes en España;2019;34.349.000
Total Nacional;;;Residentes en España;2018;29.078.000
Total Nacional;19 Melilla;;Total ;2022;1.000
Total Nacional;19 Melilla;;Total ;2021;3.000
Total Nacional;19 Melilla;;Total ;2020;3.000
Total Nacional;19 Melilla;;Total ;2019;7.000
Total Nacional;19 Melilla;;Total ;2018;3.000
Total Nacional;19 Melilla;;Residentes en el Extranjero;2022;..
Total Nacional;19 Melilla;;Residentes en el Extranjero;2021;..
Total Nacional;19 Melilla;;Residentes en el Extranjero;2020;..
Total Nacional;19 Melilla;;Residentes en el Extranjero;2019;2.000
Total Nacional;19 Melilla;;Residentes en el Extranjero;2018;1.000
Total Nacional;19 Melilla;;Residentes en España;2022;..
Total Nacional;19 Melilla;;Residentes en España;2021;2.000
Total Nacional;19 Melilla;;Residentes en España;2020;3.000
Total Nacional;19 Melilla;;Residentes en España;2019;5.000
Total Nacional;19 Melilla;;Residentes en España;2018;2.000
Total Nacional;19 Melilla;52 Melilla;Total ;2022;6.000
Total Nacional;19 Melilla;52 Melilla;Total ;2021;3.000
Total Nacional;19 Melilla;52 Melilla;Total ;2020;3.000
Total Nacional;19 Melilla;52 Melilla;Total ;2019;7.000
Total Nacional;19 Melilla;52 Melilla;Total ;2018;3.000
Total Nacional;19 Melilla;52 Melilla;Residentes en el Extranjero;2022;2.000
Total Nacional;19 Melilla;52 Melilla;Residentes en el Extranjero;2021;..
Total Nacional;19 Melilla;52 Melilla;Residentes en el Extranjero;2020;..
Total Nacional;19 Melilla;52 Melilla;Residentes en el Extranjero;2019;2.000
Total Nacional;19 Melilla;52 Melilla;Residentes en el Extranjero;2018;1.000
Total Nacional;19 Melilla;52 Melilla;Residentes en España;2022;5.000
Total Nacional;19 Melilla;52 Melilla;Residentes en España;2021;2.000
Total Nacional;19 Melilla;52 Melilla;Residentes en España;2020;3.000
Total Nacional;19 Melilla;52 Melilla;Residentes en España;2019;5.000
Total Nacional;19 Melilla;52 Melilla;Residentes en España;2018;2.000
Total Nacional;18 Ceuta;;Total ;2022;3.000
Total Nacional;18 Ceuta;;Total ;2021;3.000
Total Nacional;18 Ceuta;;Total ;2020;5.000
Total Nacional;18 Ceuta;;Total ;2019;14.000
Total Nacional;18 Ceuta;;Total ;2018;12.000
Total Nacional;18 Ceuta;;Residentes en el Extranjero;2022;..
Total Nacional;18 Ceuta;;Residentes en el Extranjero;2021;..
Total Nacional;18 Ceuta;;Residentes en el Extranjero;2020;2.000
Total Nacional;18 Ceuta;;Residentes en el Extranjero;2019;8.000
Total Nacional;18 Ceuta;;Residentes en el Extranjero;2018;7.000
Total Nacional;18 Ceuta;;Residentes en España;2022;..
Total Nacional;18 Ceuta;;Residentes en España;2021;3.000
Total Nacional;18 Ceuta;;Residentes en España;2020;3.000
Total Nacional;18 Ceuta;;Residentes en España;2019;6.000
Total Nacional;18 Ceuta;;Residentes en España;2018;5.000
Total Nacional;18 Ceuta;51 Ceuta;Total ;2022;7.000
Total Nacional;18 Ceuta;51 Ceuta;Total ;2021;3.000
Total Nacional;18 Ceuta;51 Ceuta;Total ;2020;5.000
Total Nacional;18 Ceuta;51 Ceuta;Total ;2019;14.000
Total Nacional;18 Ceuta;51 Ceuta;Total ;2018;12.000
Total Nacional;18 Ceuta;51 Ceuta;Residentes en el Extranjero;2022;2.000
Total Nacional;18 Ceuta;51 Ceuta;Residentes en el Extranjero;2021;..
Total Nacional;18 Ceuta;51 Ceuta;Residentes en el Extranjero;2020;2.000
Total Nacional;18 Ceuta;51 Ceuta;Residentes en el Extranjero;2019;8.000
Total Nacional;18 Ceuta;51 Ceuta;Residentes en el Extranjero;2018;7.000
Total Nacional;18 Ceuta;51 Ceuta;Residentes en España;2022;4.000
Total Nacional;18 Ceuta;51 Ceuta;Residentes en España;2021;3.000
Total Nacional;18 Ceuta;51 Ceuta;Residentes en España;2020;3.000
Total Nacional;18 Ceuta;51 Ceuta;Residentes en España;2019;6.000
Total Nacional;18 Ceuta;51 Ceuta;Residentes en España;2018;5.000
Total Nacional;17 Rioja, La;;Total ;2022;458.000
Total Nacional;17 Rioja, La;;Total ;2021;272.000
Total Nacional;17 Rioja, La;;Total ;2020;157.000
Total Nacional;17 Rioja, La;;Total ;2019;371.000
Total Nacional;17 Rioja, La;;Total ;2018;289.000
Total Nacional;17 Rioja, La;;Residentes en el Extranjero;2022;74.000
Total Nacional;17 Rioja, La;;Residentes en el Extranjero;2021;31.000
Total Nacional;17 Rioja, La;;Residentes en el Extranjero;2020;16.000
Total Nacional;17 Rioja, La;;Residentes en el Extranjero;2019;66.000
Total Nacional;17 Rioja, La;;Residentes en el Extranjero;2018;55.000
Total Nacional;17 Rioja, La;;Residentes en España;2022;383.000
Total Nacional;17 Rioja, La;;Residentes en España;2021;241.000
Total Nacional;17 Rioja, La;;Residentes en España;2020;142.000
Total Nacional;17 Rioja, La;;Residentes en España;2019;306.000
Total Nacional;17 Rioja, La;;Residentes en España;2018;234.000
Total Nacional;17 Rioja, La;26 Rioja, La;Total ;2022;457.000
Total Nacional;17 Rioja, La;26 Rioja, La;Total ;2021;272.000
Total Nacional;17 Rioja, La;26 Rioja, La;Total ;2020;157.000
Total Nacional;17 Rioja, La;26 Rioja, La;Total ;2019;371.000
Total Nacional;17 Rioja, La;26 Rioja, La;Total ;2018;289.000
Total Nacional;17 Rioja, La;26 Rioja, La;Residentes en el Extranjero;2022;75.000
Total Nacional;17 Rioja, La;26 Rioja, La;Residentes en el Extranjero;2021;31.000
Total Nacional;17 Rioja, La;26 Rioja, La;Residentes en el Extranjero;2020;16.000
Total Nacional;17 Rioja, La;26 Rioja, La;Residentes en el Extranjero;2019;66.000
Total Nacional;17 Rioja, La;26 Rioja, La;Residentes en el Extranjero;2018;55.000
Total Nacional;17 Rioja, La;26 Rioja, La;Residentes en España;2022;383.000
Total Nacional;17 Rioja, La;26 Rioja, La;Residentes en España;2021;241.000
Total Nacional;17 Rioja, La;26 Rioja, La;Residentes en España;2020;142.000
Total Nacional;17 Rioja, La;26 Rioja, La;Residentes en España;2019;306.000
Total Nacional;17 Rioja, La;26 Rioja, La;Residentes en España;2018;234.000
Total Nacional;16 País Vasco;;Total ;2022;1.901.000
Total Nacional;16 País Vasco;;Total ;2021;1.082.000
Total Nacional;16 País Vasco;;Total ;2020;683.000
Total Nacional;16 País Vasco;;Total ;2019;1.749.000
Total Nacional;16 País Vasco;;Total ;2018;1.543.000
Total Nacional;16 País Vasco;;Residentes en el Extranjero;2022;1.072.000
Total Nacional;16 País Vasco;;Residentes en el Extranjero;2021;392.000
Total Nacional;16 País Vasco;;Residentes en el Extranjero;2020;236.000
Total Nacional;16 País Vasco;;Residentes en el Extranjero;2019;1.030.000
Total Nacional;16 País Vasco;;Residentes en el Extranjero;2018;929.000
Total Nacional;16 País Vasco;;Residentes en España;2022;830.000
Total Nacional;16 País Vasco;;Residentes en España;2021;690.000
Total Nacional;16 País Vasco;;Residentes en España;2020;447.000
Total Nacional;16 País Vasco;;Residentes en España;2019;719.000
Total Nacional;16 País Vasco;;Residentes en España;2018;614.000
Total Nacional;16 País Vasco;48 Bizkaia;Total ;2022;876.000
Total Nacional;16 País Vasco;48 Bizkaia;Total ;2021;463.000
Total Nacional;16 País Vasco;48 Bizkaia;Total ;2020;293.000
Total Nacional;16 País Vasco;48 Bizkaia;Total ;2019;708.000
Total Nacional;16 País Vasco;48 Bizkaia;Total ;2018;569.000
Total Nacional;16 País Vasco;48 Bizkaia;Residentes en el Extranjero;2022;456.000
Total Nacional;16 País Vasco;48 Bizkaia;Residentes en el Extranjero;2021;153.000
Total Nacional;16 País Vasco;48 Bizkaia;Residentes en el Extranjero;2020;89.000
Total Nacional;16 País Vasco;48 Bizkaia;Residentes en el Extranjero;2019;389.000
Total Nacional;16 País Vasco;48 Bizkaia;Residentes en el Extranjero;2018;322.000
Total Nacional;16 País Vasco;48 Bizkaia;Residentes en España;2022;420.000
Total Nacional;16 País Vasco;48 Bizkaia;Residentes en España;2021;311.000
Total Nacional;16 País Vasco;48 Bizkaia;Residentes en España;2020;204.000
Total Nacional;16 País Vasco;48 Bizkaia;Residentes en España;2019;319.000
Total Nacional;16 País Vasco;48 Bizkaia;Residentes en España;2018;248.000
Total Nacional;16 País Vasco;20 Gipuzkoa;Total ;2022;929.000
Total Nacional;16 País Vasco;20 Gipuzkoa;Total ;2021;555.000
Total Nacional;16 País Vasco;20 Gipuzkoa;Total ;2020;352.000
Total Nacional;16 País Vasco;20 Gipuzkoa;Total ;2019;953.000
Total Nacional;16 País Vasco;20 Gipuzkoa;Total ;2018;894.000
Total Nacional;16 País Vasco;20 Gipuzkoa;Residentes en el Extranjero;2022;588.000
Total Nacional;16 País Vasco;20 Gipuzkoa;Residentes en el Extranjero;2021;230.000
Total Nacional;16 País Vasco;20 Gipuzkoa;Residentes en el Extranjero;2020;142.000
Total Nacional;16 País Vasco;20 Gipuzkoa;Residentes en el Extranjero;2019;619.000
Total Nacional;16 País Vasco;20 Gipuzkoa;Residentes en el Extranjero;2018;585.000
Total Nacional;16 País Vasco;20 Gipuzkoa;Residentes en España;2022;342.000
Total Nacional;16 País Vasco;20 Gipuzkoa;Residentes en España;2021;325.000
Total Nacional;16 País Vasco;20 Gipuzkoa;Residentes en España;2020;210.000
Total Nacional;16 País Vasco;20 Gipuzkoa;Residentes en España;2019;334.000
Total Nacional;16 País Vasco;20 Gipuzkoa;Residentes en España;2018;309.000
Total Nacional;16 País Vasco;01 Araba/Álava;Total ;2022;95.000
Total Nacional;16 País Vasco;01 Araba/Álava;Total ;2021;64.000
Total Nacional;16 País Vasco;01 Araba/Álava;Total ;2020;38.000
Total Nacional;16 País Vasco;01 Araba/Álava;Total ;2019;88.000
Total Nacional;16 País Vasco;01 Araba/Álava;Total ;2018;80.000
Total Nacional;16 País Vasco;01 Araba/Álava;Residentes en el Extranjero;2022;27.000
Total Nacional;16 País Vasco;01 Araba/Álava;Residentes en el Extranjero;2021;10.000
Total Nacional;16 País Vasco;01 Araba/Álava;Residentes en el Extranjero;2020;5.000
Total Nacional;16 País Vasco;01 Araba/Álava;Residentes en el Extranjero;2019;22.000
Total Nacional;16 País Vasco;01 Araba/Álava;Residentes en el Extranjero;2018;22.000
Total Nacional;16 País Vasco;01 Araba/Álava;Residentes en España;2022;68.000
Total Nacional;16 País Vasco;01 Araba/Álava;Residentes en España;2021;54.000
Total Nacional;16 País Vasco;01 Araba/Álava;Residentes en España;2020;33.000
Total Nacional;16 País Vasco;01 Araba/Álava;Residentes en España;2019;66.000
Total Nacional;16 País Vasco;01 Araba/Álava;Residentes en España;2018;58.000
Total Nacional;15 Navarra, Comunidad Foral de;;Total ;2022;455.000
Total Nacional;15 Navarra, Comunidad Foral de;;Total ;2021;282.000
Total Nacional;15 Navarra, Comunidad Foral de;;Total ;2020;175.000
Total Nacional;15 Navarra, Comunidad Foral de;;Total ;2019;371.000
Total Nacional;15 Navarra, Comunidad Foral de;;Total ;2018;292.000
Total Nacional;15 Navarra, Comunidad Foral de;;Residentes en el Extranjero;2022;143.000
Total Nacional;15 Navarra, Comunidad Foral de;;Residentes en el Extranjero;2021;54.000
Total Nacional;15 Navarra, Comunidad Foral de;;Residentes en el Extranjero;2020;31.000
Total Nacional;15 Navarra, Comunidad Foral de;;Residentes en el Extranjero;2019;129.000
Total Nacional;15 Navarra, Comunidad Foral de;;Residentes en el Extranjero;2018;105.000
Total Nacional;15 Navarra, Comunidad Foral de;;Residentes en España;2022;314.000
Total Nacional;15 Navarra, Comunidad Foral de;;Residentes en España;2021;228.000
Total Nacional;15 Navarra, Comunidad Foral de;;Residentes en España;2020;144.000
Total Nacional;15 Navarra, Comunidad Foral de;;Residentes en España;2019;242.000
Total Nacional;15 Navarra, Comunidad Foral de;;Residentes en España;2018;187.000
Total Nacional;15 Navarra, Comunidad Foral de;31 Navarra;Total ;2022;456.000
Total Nacional;15 Navarra, Comunidad Foral de;31 Navarra;Total ;2021;282.000
Total Nacional;15 Navarra, Comunidad Foral de;31 Navarra;Total ;2020;175.000
Total Nacional;15 Navarra, Comunidad Foral de;31 Navarra;Total ;2019;371.000
Total Nacional;15 Navarra, Comunidad Foral de;31 Navarra;Total ;2018;292.000
